studentId,o1,o2,o3
S001,1,1,1
S002,0,0,1
S003,0,0,1
S004,0,1,0
S005,1,1,1
S006,1,1,0
S007,0,1,1
S008,0,1,1
S009,0,0,0
S010,1,1,1
S011,1,0,1
S012,0,1,1
S013,0,0,0
S014,0,0,1
S015,0,0,1
S016,0,0,0
S017,1,,1
S018,0,0,0
S019,0,0,1
S020,0,1,1
S021,1,0,1
S022,0,1,1
S023,0,0,0
S024,1,1,1
S025,0,0,1
S026,1,1,1
S027,0,1,0
S028,0,0,1
S029,0,0,1
S030,1,1,1
S031,0,0,1
S032,1,1,1
S033,0,0,1
S034,0,0,1
S035,0,0,1
S036,1,1,1
S037,0,1,0
S038,1,1,0
S039,1,1,1
S040,1,1,0
S041,0,0,1
S042,0,0,1
S043,0,1,0
S044,1,1,1
S045,1,1,1
S046,1,1,1
S047,0,0,0
S048,1,1,1
S049,0,0,1
S050,0,1,1
S051,0,1,1
S052,0,1,1
S053,0,0,0
S054,0,1,1
S055,0,0,0
S056,0,1,1
S057,0,0,1
S058,1,1,0
S059,1,1,1
S060,1,1,0
S061,0,0,1
S062,0,1,0
S063,1,0,NA
S064,1,1,1
S065,0,1,1
S066,0,1,0
S067,1,0,1
S068,0,1,0
S069,0,1,1
S070,0,0,1
S071,0,1,1
S072,0,0,0
S073,1,1,1
S074,1,0,1
S075,0,0,0
S076,0,0,1
S077,0,1,1
S078,1,1,1
S079,1,0,1
S080,1,1,1
S081,0,1,0
S082,0,0,1
S083,1,1,1
S084,0,0,0
S085,0,0,0
S086,0,1,1
S087,1,1,1
S088,1,0,1
S089,0,1,0
S090,0,1,1
S091,0,1,1
S092,0,1,1
S093,1,1,1
S094,1,0,0
S095,0,1,0
S096,0,0,0
S097,0,0,1
S098,1,1,1
S099,0,0,1
S100,0,1,1
S101,1,1,1
S102,1,1,1
S103,0,0,1
S104,1,0,0
S105,0,1,0
S106,0,1,0
S107,0,0,1
S108,1,1,1
S109,0,1,0
S110,0,0,1
S111,0,0,0
S112,1,1,1
S113,0,1,0
S114,1,0,1
S115,0,0,0
S116,0,1,1
S117,0,0,0
S118,0,1,1
S119,1,0,1
S120,0,0,0
